h3_index,cuisine_type,competitor_count,avg_rating,total_reviews,rent_index,void_score,latitude,longitude,dominant_zip
882646273dfffff,American (New),1,3.5,35,2640.0,66.36,38.634445,-90.407031,63131
882aac9455fffff,Sushi Bars,1,4.5,77,2667.2738095238096,66.36,40.164041,-75.290822,19422
88441a8837fffff,Sports Bars,1,4.5,23,2632.0512820512818,66.36,27.919944,-82.498126,33629
88441a89abfffff,Gelato,1,4.0,60,2657.161863799283,66.36,27.950186,-82.460185,33602
88264620b7fffff,Coffee & Tea,1,4.0,24,2640.0,66.35,38.626516,-90.481612,63131
8826462501fffff,Delis,1,4.0,23,2640.0,66.35,38.600092,-90.429057,63131
882a135329fffff,Nightlife,1,3.0,241,2775.4166666666665,66.35,40.234977,-74.93782,18940
88441a8315fffff,Latin American,1,4.0,26,2639.39898989899,66.35,27.81727,-82.638893,33703
88441a8813fffff,Delis,1,4.0,9,2632.0512820512818,66.35,27.914275,-82.527008,33629
88441a8815fffff,Sports Bars,1,4.0,11,2632.0512820512818,66.35,27.911385,-82.517586,33629
88441a88e5fffff,Coffee & Tea,1,3.5,15,2632.0512820512818,66.35,27.932531,-82.506806,33629
88441a89adfffff,Greek,1,2.5,52,2657.161863799283,66.35,27.943456,-82.447597,33602
88441ac199fffff,Mexican,1,4.0,199,2747.8968253968255,66.35,27.877129,-82.222764,33596
8826462503fffff,Sports Bars,1,4.0,29,2640.0,66.35,38.599288,-90.426345,63131
8826462505fffff,Food Delivery Services,1,2.5,24,2640.0,66.35,38.60269,-90.443628,63131
8826462529fffff,Barbeque,1,3.5,26,2640.0,66.35,38.601535,-90.451835,63131
8826462567fffff,Churches,1,4.5,24,2640.0,66.35,38.610683,-90.452834,63131
882646272bfffff,Music Venues,1,3.0,22,2640.0,66.35,38.644145,-90.406038,63131
8826462735fffff,Specialty Food,1,3.5,27,2640.0,66.35,38.633033,-90.41012,63131
882aac9455fffff,Burgers,1,4.0,67,2667.2738095238096,66.35,40.16548,-75.29148,19422
88441a8339fffff,Delis,1,3.0,25,2639.39898989899,66.35,27.817148,-82.638089,33703
88441a8837fffff,Cafes,1,4.5,15,2632.0512820512818,66.35,27.919474,-82.497233,33629
88441a8837fffff,Indian,1,3.5,12,2632.0512820512818,66.35,27.919754,-82.499328,33629
88441a883bfffff,French,1,4.5,14,2632.0512820512818,66.35,27.915265,-82.50633,33629
88441a88edfffff,Specialty Food,1,3.5,14,2632.0512820512818,66.35,27.925921,-82.514461,33629
88441a8985fffff,Salad,1,4.5,15,2632.0512820512818,66.35,27.944957,-82.464098,33629
88441a89a7fffff,Vegan,1,4.5,54,2657.161863799283,66.35,27.951026,-82.447499,33602
88441a89adfffff,Shopping Centers,1,3.0,56,2657.161863799283,66.35,27.943473,-82.447553,33602
8826462501fffff,Chicken Wings,1,1.0,13,2640.0,66.34,38.6003,-90.429955,63131
8826462505fffff,Indian,1,5.0,17,2640.0,66.34,38.603082,-90.443268,63131
882646252bfffff,American (New),1,3.0,14,2640.0,66.34,38.598187,-90.447671,63131
